Name,Team,Number,Position,Age,Height,Weight,College,Salary
Jason Smith,Orlando Magic,14,PF,30,152,240,Colorado State,4300000
Nikola Vucevic,Orlando Magic,9,C,25,153,260,USC,11250000
C.J. Watson,Orlando Magic,32,PG,32,154,175,Tennessee,5000000
Alan Anderson,Washington Wizards,6,SG,33,155,220,Michigan State,4000000
Bradley Beal,Washington Wizards,3,SG,22,156,207,Florida,5694674
Jared Dudley,Washington Wizards,1,SF,30,157,225,Boston College,4375000
Jarell Eddie,Washington Wizards,8,SG,24,158,218,Virginia Tech,561716
Drew Gooden,Washington Wizards,90,PF,34,159,250,Kansas,3300000
Marcin Gortat,Washington Wizards,13,C,32,160,240,,11217391
JJ Hickson,Washington Wizards,21,C,27,161,242,North Carolina State,273038
Nene Hilario,Washington Wizards,42,C,33,162,250,,13000000
Markieff Morris,Washington Wizards,5,PF,26,163,245,Kansas,8000000
Kelly Oubre Jr.,Washington Wizards,12,SF,20,164,205,Kansas,1920240
Otto Porter Jr.,Washington Wizards,22,SF,23,165,198,Georgetown,4662960
Ramon Sessions,Washington Wizards,7,PG,30,166,190,Nevada,2170465
Garrett Temple,Washington Wizards,17,SG,30,167,195,LSU,1100602
Marcus Thornton,Washington Wizards,15,SF,29,168,205,LSU,200600
John Wall,Washington Wizards,2,PG,25,169,195,Kentucky,15851950
Darrell Arthur,Denver Nuggets,0,PF,28,170,235,Kansas,2814000
D.J. Augustin,Denver Nuggets,12,PG,28,171,183,Texas,3000000
Will Barton,Denver Nuggets,5,SF,25,172,175,Memphis,3533333
Wilson Chandler,Denver Nuggets,21,SF,29,173,225,DePaul,10449438
Kenneth Faried,Denver Nuggets,35,PF,26,174,228,Morehead State,11235955
Danilo Gallinari,Denver Nuggets,8,SF,27,175,225,,14000000
Gary Harris,Denver Nuggets,14,SG,21,176,210,Michigan State,1584480
Nikola Jokic,Denver Nuggets,15,C,21,177,250,,1300000
Joffrey Lauvergne,Denver Nuggets,77,C,24,178,220,,1709719
Mike Miller,Denver Nuggets,3,SG,36,179,218,Florida,947276
Emmanuel Mudiay,Denver Nuggets,0,PG,20,180,200,,3102240
Jameer Nelson,Denver Nuggets,1,PG,34,150,190,Saint Joseph's,4345000
Jusuf Nurkic,Denver Nuggets,23,C,21,151,280,,1842000
JaKarr Sampson,Denver Nuggets,9,SG,23,152,214,St. John's,258489
Axel Toupane,Denver Nuggets,6,SG,23,153,210,,
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,154,240,,3950001
Gorgui Dieng,Minnesota Timberwolves,5,C,26,155,241,Louisville,1474440
Kevin Garnett,Minnesota Timberwolves,21,PF,40,156,240,,8500000
Tyus Jones,Minnesota Timberwolves,1,PG,20,157,195,Duke,1282080
Zach LaVine,Minnesota Timberwolves,8,PG,21,158,189,UCLA,2148360
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,159,223,UCLA,2056920
Adreian Payne,Minnesota Timberwolves,33,PF,25,160,237,Michigan State,1938840
Nikola Pekovic,Minnesota Timberwolves,14,C,30,161,307,,12100000
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,162,212,Kentucky,947276
Ricky Rubio,Minnesota Timberwolves,9,PG,25,163,194,,12700000
Damjan Rudez,Minnesota Timberwolves,10,SF,29,164,230,,1149500
Greg Smith,Minnesota Timberwolves,4,PF,25,165,250,Fresno State,
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,166,244,Kentucky,5703600
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,167,199,Kansas,5758680
Steven Adams,Oklahoma City Thunder,12,C,22,168,255,Pittsburgh,2279040
Nick Collison,Oklahoma City Thunder,4,PF,35,169,255,Kansas,3750000
Kevin Durant,Oklahoma City Thunder,35,SF,27,170,240,Texas,20158622
Randy Foye,Oklahoma City Thunder,6,SG,32,171,213,Villanova,3135000
Josh Huestis,Oklahoma City Thunder,34,SF,24,172,230,Stanford,1140240
Serge Ibaka,Oklahoma City Thunder,9,PF,26,173,245,,12250000
Enes Kanter,Oklahoma City Thunder,11,C,24,174,245,Kentucky,16407500
Mitch McGary,Oklahoma City Thunder,33,PF,24,175,255,Michigan,1463040
Nazr Mohammed,Oklahoma City Thunder,13,C,38,176,250,Kentucky,222888
Anthony Morrow,Oklahoma City Thunder,2,SG,30,177,210,Georgia Tech,3344000
Cameron Payne,Oklahoma City Thunder,22,PG,21,178,185,Murray State,2021520
Andre Roberson,Oklahoma City Thunder,21,SG,24,179,210,Colorado,1210800
Kyle Singler,Oklahoma City Thunder,5,SF,28,180,228,Duke,4500000
Dion Waiters,Oklahoma City Thunder,3,SG,24,150,220,Syracuse,5138430
Russell Westbrook,Oklahoma City Thunder,0,PG,27,151,200,UCLA,16744218
Cliff Alexander,Portland Trail Blazers,34,PF,20,152,240,Kansas,525093
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,153,215,Wake Forest,8042895
Pat Connaughton,Portland Trail Blazers,5,SG,23,154,206,Notre Dame,625093
Allen Crabbe,Portland Trail Blazers,23,SG,24,155,210,California,947276
Ed Davis,Portland Trail Blazers,17,C,27,156,240,North Carolina,6980802
Maurice Harkless,Portland Trail Blazers,4,SF,23,157,215,St. John's,2894059
Gerald Henderson,Portland Trail Blazers,9,SG,28,158,215,Duke,6000000
Chris Kaman,Portland Trail Blazers,35,C,34,159,265,Central Michigan,5016000
Meyers Leonard,Portland Trail Blazers,11,PF,24,160,245,Illinois,3075880
Damian Lillard,Portland Trail Blazers,0,PG,25,161,195,Weber State,4236287
C.J. McCollum,Portland Trail Blazers,3,SG,24,162,200,Lehigh,2525160
Luis Montero,Portland Trail Blazers,44,SG,23,163,185,Westchester CC,525093
Mason Plumlee,Portland Trail Blazers,24,C,26,164,235,Duke,1415520
Brian Roberts,Portland Trail Blazers,2,PG,30,165,173,Dayton,2854940
Noah Vonleh,Portland Trail Blazers,21,PF,20,166,240,Indiana,2637720
Trevor Booker,Utah Jazz,33,PF,28,167,228,Clemson,4775000
Trey Burke,Utah Jazz,3,PG,23,168,191,Michigan,2658240
Alec Burks,Utah Jazz,10,SG,24,169,214,Colorado,9463484
Dante Exum,Utah Jazz,11,PG,20,170,190,,3777720
Derrick Favors,Utah Jazz,15,PF,24,171,265,Georgia Tech,12000000
Rudy Gobert,Utah Jazz,27,C,23,172,245,,1175880
Gordon Hayward,Utah Jazz,20,SF,26,173,226,Butler,15409570
Rodney Hood,Utah Jazz,5,SG,23,174,206,Duke,1348440
Joe Ingles,Utah Jazz,2,SF,28,175,226,,2050000
Chris Johnson,Utah Jazz,23,SF,26,176,206,Dayton,981348
Trey Lyles,Utah Jazz,41,PF,20,177,234,Kentucky,2239800
Shelvin Mack,Utah Jazz,8,PG,26,178,203,Butler,2433333
Raul Neto,Utah Jazz,25,PG,24,179,179,,900000
Tibor Pleiss,Utah Jazz,21,C,26,180,256,,2900000
Jeff Withey,Utah Jazz,24,C,26,178,231,Kansas,947276
Priyanka,Utah Jazz,34,C,25,174,231,Kansas,947276
